IDMesa,Freguesia,Partido,Votos Camara
88,Uniao de Freguesias de Azeitao,Partido A,40
88,Uniao de Freguesias de Azeitao,Partido F,70
88,Uniao de Freguesias de Azeitao,Partido E,5
88,Uniao de Freguesias de Azeitao,Partido B,1
88,Uniao de Freguesias de Azeitao,Partido D,1
89,Uniao de Freguesias de Setubal,Partido A,153
89,Uniao de Freguesias de Setubal,Partido E,27
89,Uniao de Freguesias de Setubal,Partido C,299
89,Uniao de Freguesias de Setubal,Partido G,9
89,Uniao de Freguesias de Setubal,Partido F,132
89,Uniao de Freguesias de Setubal,Partido B,7
89,Uniao de Freguesias de Setubal,Partido D,4
90,Uniao de Freguesias de Setubal,Partido A,130
90,Uniao de Freguesias de Setubal,Partido E,38
90,Uniao de Freguesias de Setubal,Partido C,328
90,Uniao de Freguesias de Setubal,Partido G,8
90,Uniao de Freguesias de Setubal,Partido F,147
90,Uniao de Freguesias de Setubal,Partido B,7
90,Uniao de Freguesias de Setubal,Partido D,2
91,Uniao de Freguesias de Setubal,Partido A,108
91,Uniao de Freguesias de Setubal,Partido E,28
91,Uniao de Freguesias de Setubal,Partido C,345
91,Uniao de Freguesias de Setubal,Partido G,15
91,Uniao de Freguesias de Setubal,Partido F,136
91,Uniao de Freguesias de Setubal,Partido B,15
91,Uniao de Freguesias de Setubal,Partido D,4
92,Sado,Partido A,41
92,Sado,Partido F,145
92,Sado,Partido G,8
92,Sado,Partido E,5
